,Survived,Age,Pclass,Sex,Number of parernts and children,Fare,Number of sublings
891,0,34.5,3,1,0,7.8292,0
892,1,47.0,3,0,0,7.0,1
893,0,62.0,2,1,0,9.6875,0
894,0,27.0,3,1,0,8.6625,0
895,1,22.0,3,0,1,12.2875,1
896,0,14.0,3,1,0,9.225,0
897,1,30.0,3,0,0,7.6292,0
898,0,26.0,2,1,1,29.0,1
899,1,18.0,3,0,0,7.2292,0
900,0,21.0,3,1,0,24.15,2
901,0,29.881137667304014,3,1,0,7.8958,0
902,0,46.0,1,1,0,26.0,0
903,1,23.0,1,0,0,82.2667,1
904,0,63.0,2,1,0,26.0,1
905,1,47.0,1,0,0,61.175,1
906,1,24.0,2,0,0,27.7208,1
907,0,35.0,2,1,0,12.35,0
908,0,21.0,3,1,0,7.225,0
909,1,27.0,3,0,0,7.925,1
910,1,45.0,3,0,0,7.225,0
911,0,55.0,1,1,0,59.4,1
912,0,9.0,3,1,1,3.1708,0
913,1,29.881137667304014,1,0,0,31.6833,0
914,0,21.0,1,1,1,61.3792,0
915,1,48.0,1,0,3,262.375,1
916,0,50.0,3,1,0,14.5,1
917,1,22.0,1,0,1,61.9792,0
918,0,22.5,3,1,0,7.225,0
919,0,41.0,1,1,0,30.5,0
920,0,29.881137667304014,3,1,0,21.6792,2
921,0,50.0,2,1,0,26.0,1
922,0,24.0,2,1,0,31.5,2
923,1,33.0,3,0,2,20.575,1
924,1,29.881137667304014,3,0,2,23.45,1
925,0,30.0,1,1,0,57.75,1
926,0,18.5,3,1,0,7.2292,0
927,1,29.881137667304014,3,0,0,8.05,0
928,1,21.0,3,0,0,8.6625,0
929,0,25.0,3,1,0,9.5,0
930,0,29.881137667304014,3,1,0,56.4958,0
931,0,39.0,3,1,1,13.4167,0
932,0,29.881137667304014,1,1,0,26.55,0
933,0,41.0,3,1,0,7.85,0
934,1,30.0,2,0,0,13.0,0
935,1,45.0,1,0,0,52.5542,1
936,0,25.0,3,1,0,7.925,0
937,0,45.0,1,1,0,29.7,0
938,0,29.881137667304014,3,1,0,7.75,0
939,1,60.0,1,0,0,76.2917,0
940,1,36.0,3,0,2,15.9,0
941,0,24.0,1,1,0,60.0,1
942,0,27.0,2,1,0,15.0333,0
943,1,20.0,2,0,1,23.0,2
944,1,28.0,1,0,2,263.0,3
945,0,29.881137667304014,2,1,0,15.5792,0
946,0,10.0,3,1,1,29.125,4
947,0,35.0,3,1,0,7.8958,0
948,0,25.0,3,1,0,7.65,0
949,0,29.881137667304014,3,1,0,16.1,1
950,1,36.0,1,0,0,262.375,0
951,0,17.0,3,1,0,7.8958,0
952,0,32.0,2,1,0,13.5,0
953,0,18.0,3,1,0,7.75,0
954,1,22.0,3,0,0,7.725,0
955,0,13.0,1,1,2,262.375,2
956,1,29.881137667304014,2,0,0,21.0,0
957,1,18.0,3,0,0,7.8792,0
958,0,47.0,1,1,0,42.4,0
959,0,31.0,1,1,0,28.5375,0
960,1,60.0,1,0,4,263.0,1
961,1,24.0,3,0,0,7.75,0
962,0,21.0,3,1,0,7.8958,0
963,1,29.0,3,0,0,7.925,0
964,0,28.5,1,1,0,27.7208,0
965,1,35.0,1,0,0,211.5,0
966,0,32.5,1,1,0,211.5,0
967,0,29.881137667304014,3,1,0,8.05,0
968,1,55.0,1,0,0,25.7,2
969,0,30.0,2,1,0,13.0,0
970,1,24.0,3,0,0,7.75,0
971,0,6.0,3,1,1,15.2458,1
972,0,67.0,1,1,0,221.7792,1
973,0,49.0,1,1,0,26.0,0
974,0,29.881137667304014,3,1,0,7.8958,0
975,0,29.881137667304014,2,1,0,10.7083,0
976,0,29.881137667304014,3,1,0,14.4542,1
977,1,27.0,3,0,0,7.8792,0
978,1,18.0,3,0,0,8.05,0
979,1,29.881137667304014,3,0,0,7.75,0
980,0,2.0,2,1,1,23.0,1
981,1,22.0,3,0,0,13.9,1
982,0,29.881137667304014,3,1,0,7.775,0
983,1,27.0,1,0,2,52.0,1
984,0,29.881137667304014,3,1,0,8.05,0
985,0,25.0,1,1,0,26.0,0
986,0,25.0,3,1,0,7.7958,0
987,1,76.0,1,0,0,78.85,1
988,0,29.0,3,1,0,7.925,0
989,1,20.0,3,0,0,7.8542,0
990,0,33.0,3,1,0,8.05,0
991,1,43.0,1,0,0,55.4417,1
992,0,27.0,2,1,0,26.0,1
993,0,29.881137667304014,3,1,0,7.75,0
994,0,26.0,3,1,0,7.775,0
995,1,16.0,3,0,1,8.5167,1
996,0,28.0,3,1,0,22.525,0
997,0,21.0,3,1,0,7.8208,0
998,0,29.881137667304014,3,1,0,7.75,0
999,0,29.881137667304014,3,1,0,8.7125,0
1000,0,18.5,2,1,0,13.0,0
1001,0,41.0,2,1,0,15.0458,0
1002,1,29.881137667304014,3,0,0,7.7792,0
1003,1,36.0,1,0,0,31.6792,0
1004,1,18.5,3,0,0,7.2833,0
1005,1,63.0,1,0,0,221.7792,1
1006,0,18.0,3,1,0,14.4542,1
1007,0,29.881137667304014,3,1,0,6.4375,0
1008,1,1.0,3,0,1,16.7,1
1009,0,36.0,1,1,0,75.2417,0
1010,1,29.0,2,0,0,26.0,1
1011,1,12.0,2,0,0,15.75,0
1012,0,29.881137667304014,3,1,0,7.75,1
1013,1,35.0,1,0,0,57.75,1
1014,0,28.0,3,1,0,7.25,0
1015,0,29.881137667304014,3,1,0,7.75,0
1016,1,17.0,3,0,1,16.1,0
1017,0,22.0,3,1,0,7.7958,0
1018,1,29.881137667304014,3,0,0,23.25,2
1019,0,42.0,2,1,0,13.0,0
1020,0,24.0,3,1,0,8.05,0
1021,0,32.0,3,1,0,8.05,0
1022,0,53.0,1,1,0,28.5,0
1023,1,29.881137667304014,3,0,4,25.4667,0
1024,0,29.881137667304014,3,1,0,6.4375,1
1025,0,43.0,3,1,0,7.8958,0
1026,0,24.0,3,1,0,7.8542,0
1027,0,26.5,3,1,0,7.225,0
1028,0,26.0,2,1,0,13.0,0
1029,1,23.0,3,0,0,8.05,0
1030,0,40.0,3,1,6,46.9,1
1031,1,10.0,3,0,2,46.9,5
1032,1,33.0,1,0,0,151.55,0
1033,0,61.0,1,1,3,262.375,1
1034,0,28.0,2,1,0,26.0,0
1035,0,42.0,1,1,0,26.55,0
1036,0,31.0,3,1,0,18.0,3
1037,0,29.881137667304014,1,1,0,51.8625,0
1038,0,22.0,3,1,0,8.05,0
1039,0,29.881137667304014,1,1,0,26.55,0
1040,0,30.0,2,1,1,26.0,1
1041,1,23.0,1,0,1,83.1583,0
1042,0,29.881137667304014,3,1,0,7.8958,0
1044,1,36.0,3,0,2,12.1833,0
1045,0,13.0,3,1,2,31.3875,4
1046,0,24.0,3,1,0,7.55,0
1047,1,29.0,1,0,0,221.7792,0
1048,1,23.0,3,0,0,7.8542,0
1049,0,42.0,1,1,0,26.55,0
1050,1,26.0,3,0,2,13.775,0
1051,1,29.881137667304014,3,0,0,7.7333,0
1052,0,7.0,3,1,1,15.2458,1
1053,1,26.0,2,0,0,13.5,0
1054,0,29.881137667304014,3,1,0,7.0,0
1055,0,41.0,2,1,0,13.0,0
1056,1,26.0,3,0,1,22.025,1
1057,0,48.0,1,1,0,50.4958,0
1058,0,18.0,3,1,2,34.375,2
1059,1,29.881137667304014,1,0,0,27.7208,0
1060,1,22.0,3,0,0,8.9625,0
1061,0,29.881137667304014,3,1,0,7.55,0
1062,0,27.0,3,1,0,7.225,0
1063,0,23.0,3,1,0,13.9,1
1064,0,29.881137667304014,3,1,0,7.2292,0
1065,0,40.0,3,1,5,31.3875,1
