,Survived,Age,Pclass,Sex,Number of parernts and children,Fare,Number of sublings
891,,34.5,3,1,0,7.8292,0
892,,47.0,3,0,0,7.0,1
893,,62.0,2,1,0,9.6875,0
894,,27.0,3,1,0,8.6625,0
895,,22.0,3,0,1,12.2875,1
896,,14.0,3,1,0,9.225,0
897,,30.0,3,0,0,7.6292,0
898,,26.0,2,1,1,29.0,1
899,,18.0,3,0,0,7.2292,0
900,,21.0,3,1,0,24.15,2
901,,29.881137667304014,3,1,0,7.8958,0
902,,46.0,1,1,0,26.0,0
903,,23.0,1,0,0,82.2667,1
904,,63.0,2,1,0,26.0,1
905,,47.0,1,0,0,61.175,1
906,,24.0,2,0,0,27.7208,1
907,,35.0,2,1,0,12.35,0
908,,21.0,3,1,0,7.225,0
909,,27.0,3,0,0,7.925,1
910,,45.0,3,0,0,7.225,0
911,,55.0,1,1,0,59.4,1
912,,9.0,3,1,1,3.1708,0
913,,29.881137667304014,1,0,0,31.6833,0
914,,21.0,1,1,1,61.3792,0
915,,48.0,1,0,3,262.375,1
916,,50.0,3,1,0,14.5,1
917,,22.0,1,0,1,61.9792,0
918,,22.5,3,1,0,7.225,0
919,,41.0,1,1,0,30.5,0
920,,29.881137667304014,3,1,0,21.6792,2
921,,50.0,2,1,0,26.0,1
922,,24.0,2,1,0,31.5,2
923,,33.0,3,0,2,20.575,1
924,,29.881137667304014,3,0,2,23.45,1
925,,30.0,1,1,0,57.75,1
926,,18.5,3,1,0,7.2292,0
927,,29.881137667304014,3,0,0,8.05,0
928,,21.0,3,0,0,8.6625,0
929,,25.0,3,1,0,9.5,0
930,,29.881137667304014,3,1,0,56.4958,0
931,,39.0,3,1,1,13.4167,0
932,,29.881137667304014,1,1,0,26.55,0
933,,41.0,3,1,0,7.85,0
934,,30.0,2,0,0,13.0,0
935,,45.0,1,0,0,52.5542,1
936,,25.0,3,1,0,7.925,0
937,,45.0,1,1,0,29.7,0
938,,29.881137667304014,3,1,0,7.75,0
939,,60.0,1,0,0,76.2917,0
940,,36.0,3,0,2,15.9,0
941,,24.0,1,1,0,60.0,1
942,,27.0,2,1,0,15.0333,0
943,,20.0,2,0,1,23.0,2
944,,28.0,1,0,2,263.0,3
945,,29.881137667304014,2,1,0,15.5792,0
946,,10.0,3,1,1,29.125,4
947,,35.0,3,1,0,7.8958,0
948,,25.0,3,1,0,7.65,0
949,,29.881137667304014,3,1,0,16.1,1
950,,36.0,1,0,0,262.375,0
951,,17.0,3,1,0,7.8958,0
952,,32.0,2,1,0,13.5,0
953,,18.0,3,1,0,7.75,0
954,,22.0,3,0,0,7.725,0
955,,13.0,1,1,2,262.375,2
956,,29.881137667304014,2,0,0,21.0,0
957,,18.0,3,0,0,7.8792,0
958,,47.0,1,1,0,42.4,0
